input1	input2	input3	input4	input5	output
380	365	335	335	330	310
365	335	335	330	310	310
335	335	330	310	310	340
335	330	310	310	340	335
330	310	310	340	335	355
310	310	340	335	355	365
310	340	335	355	365	360
340	335	355	365	360	360
335	355	365	360	360	363
355	365	360	360	363	353
365	360	360	363	353	348
360	360	363	353	348	358
360	363	353	348	358	378
363	353	348	358	378	383
353	348	358	378	383	393
348	358	378	383	393	408
358	378	383	393	408	423
378	383	393	408	423	418
383	393	408	423	418	395
393	408	423	418	395	395
408	423	418	395	395	423
423	418	395	395	423	423
418	395	395	423	423	440
395	395	423	423	440	440
395	423	423	440	440	440
423	423	440	440	440	440
423	440	440	440	440	440
440	440	440	440	440	455
440	440	440	440	455	453
440	440	440	455	453	440
440	440	455	453	440	415
440	455	453	440	415	390
455	453	440	415	390	388
453	440	415	390	388	385
