input1	input2	input3	input4	input5	input6	output
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.7
0.7	0.7	0.7	0.7	0.7	0.7	0.766154
0.7	0.7	0.7	0.7	0.7	0.766154	0.8256926
0.7	0.7	0.7	0.7	0.766154	0.8256926	0.8792773
0.7	0.7	0.7	0.766154	0.8256926	0.8792773	0.9275036
0.7	0.7	0.766154	0.8256926	0.8792773	0.9275036	0.9709072
0.7	0.766154	0.8256926	0.8792773	0.9275036	0.9709072	1.00997
0.766154	0.8256926	0.8792773	0.9275036	0.9709072	1.00997	1.045127
0.8256926	0.8792773	0.9275036	0.9709072	1.00997	1.045127	1.076769
0.8792773	0.9275036	0.9709072	1.00997	1.045127	1.076769	1.105246
0.9275036	0.9709072	1.00997	1.045127	1.076769	1.105246	1.130875
0.9709072	1.00997	1.045127	1.076769	1.105246	1.130875	1.153942
1.00997	1.045127	1.076769	1.105246	1.130875	1.153942	1.174701
1.045127	1.076769	1.105246	1.130875	1.153942	1.174701	1.193385
1.076769	1.105246	1.130875	1.153942	1.174701	1.193385	1.210201
1.105246	1.130875	1.153942	1.174701	1.193385	1.210201	1.225335
1.130875	1.153942	1.174701	1.193385	1.210201	1.225335	1.238955
1.153942	1.174701	1.193385	1.210201	1.225335	1.238955	1.251214
1.174701	1.193385	1.210201	1.225335	1.238955	1.251214	1.262246
1.193385	1.210201	1.225335	1.238955	1.251214	1.262246	1.27927
1.210201	1.225335	1.238955	1.251214	1.262246	1.27927	1.29528
1.225335	1.238955	1.251214	1.262246	1.27927	1.29528	1.303546
1.238955	1.251214	1.262246	1.27927	1.29528	1.303546	1.299284
1.251214	1.262246	1.27927	1.29528	1.303546	1.299284	1.280676
1.262246	1.27927	1.29528	1.303546	1.299284	1.280676	1.248599
1.27927	1.29528	1.303546	1.299284	1.280676	1.248599	1.205554
1.29528	1.303546	1.299284	1.280676	1.248599	1.205554	1.154576
1.303546	1.299284	1.280676	1.248599	1.205554	1.154576	1.098538
