input1	input2	input3	input4	input5	input6	output
35.88	36.41	36.89	36.7	36.59	36.06	30.5
36.41	36.89	36.7	36.59	36.06	30.5	30.26
36.89	36.7	36.59	36.06	30.5	30.26	29.92
36.7	36.59	36.06	30.5	30.26	29.92	29.97
36.59	36.06	30.5	30.26	29.92	29.97	29.59
36.06	30.5	30.26	29.92	29.97	29.59	29.52
30.5	30.26	29.92	29.97	29.59	29.52	29
30.26	29.92	29.97	29.59	29.52	29	28.59
29.92	29.97	29.59	29.52	29	28.59	28.95
29.97	29.59	29.52	29	28.59	28.95	29.11
29.59	29.52	29	28.59	28.95	29.11	28.59
29.52	29	28.59	28.95	29.11	28.59	29.45
29	28.59	28.95	29.11	28.59	29.45	28.56
28.59	28.95	29.11	28.59	29.45	28.56	29.12
28.95	29.11	28.59	29.45	28.56	29.12	29.6
29.11	28.59	29.45	28.56	29.12	29.6	30.23
28.59	29.45	28.56	29.12	29.6	30.23	31.81
29.45	28.56	29.12	29.6	30.23	31.81	30.68
28.56	29.12	29.6	30.23	31.81	30.68	31.27
29.12	29.6	30.23	31.81	30.68	31.27	30.83
29.6	30.23	31.81	30.68	31.27	30.83	30.96
30.23	31.81	30.68	31.27	30.83	30.96	31.52
31.81	30.68	31.27	30.83	30.96	31.52	31.1
30.68	31.27	30.83	30.96	31.52	31.1	31.1
31.27	30.83	30.96	31.52	31.1	31.1	31.07
30.83	30.96	31.52	31.1	31.1	31.07	31.42
30.96	31.52	31.1	31.1	31.07	31.42	31.3
31.52	31.1	31.1	31.07	31.42	31.3	31.91
31.1	31.1	31.07	31.42	31.3	31.91	32.02
31.1	31.07	31.42	31.3	31.91	32.02	32.99
31.07	31.42	31.3	31.91	32.02	32.99	32.18
31.42	31.3	31.91	32.02	32.99	32.18	32.09
31.3	31.91	32.02	32.99	32.18	32.09	31.78
31.91	32.02	32.99	32.18	32.09	31.78	31.27
32.02	32.99	32.18	32.09	31.78	31.27	30.95
32.99	32.18	32.09	31.78	31.27	30.95	29.97
32.18	32.09	31.78	31.27	30.95	29.97	30.24
32.09	31.78	31.27	30.95	29.97	30.24	30.86
31.78	31.27	30.95	29.97	30.24	30.86	31.15
31.27	30.95	29.97	30.24	30.86	31.15	30.77
30.95	29.97	30.24	30.86	31.15	30.77	32.31
29.97	30.24	30.86	31.15	30.77	32.31	32.87
30.24	30.86	31.15	30.77	32.31	32.87	32.87
30.86	31.15	30.77	32.31	32.87	32.87	31.03
31.15	30.77	32.31	32.87	32.87	31.03	31.1
30.77	32.31	32.87	32.87	31.03	31.1	30.85
32.31	32.87	32.87	31.03	31.1	30.85	31.47
32.87	32.87	31.03	31.1	30.85	31.47	31.39
32.87	31.03	31.1	30.85	31.47	31.39	31.16
31.03	31.1	30.85	31.47	31.39	31.16	31.28
31.1	30.85	31.47	31.39	31.16	31.28	31.85
30.85	31.47	31.39	31.16	31.28	31.85	31.44
31.47	31.39	31.16	31.28	31.85	31.44	31.78
31.39	31.16	31.28	31.85	31.44	31.78	32.35
31.16	31.28	31.85	31.44	31.78	32.35	31.7
31.28	31.85	31.44	31.78	32.35	31.7	32.39
31.85	31.44	31.78	32.35	31.7	32.39	33.03
31.44	31.78	32.35	31.7	32.39	33.03	32.95
31.78	32.35	31.7	32.39	33.03	32.95	33.53
32.35	31.7	32.39	33.03	32.95	33.53	33.25
31.7	32.39	33.03	32.95	33.53	33.25	34.59
32.39	33.03	32.95	33.53	33.25	34.59	35.77
33.03	32.95	33.53	33.25	34.59	35.77	36.51
32.95	33.53	33.25	34.59	35.77	36.51	36.37
33.53	33.25	34.59	35.77	36.51	36.37	36.75
33.25	34.59	35.77	36.51	36.37	36.75	36.29
34.59	35.77	36.51	36.37	36.75	36.29	35.88
35.77	36.51	36.37	36.75	36.29	35.88	36.41
36.51	36.37	36.75	36.29	35.88	36.41	36.7
36.37	36.75	36.29	35.88	36.41	36.7	36.06
36.75	36.29	35.88	36.41	36.7	36.06	35.68
36.29	35.88	36.41	36.7	36.06	35.68	36.45
35.88	36.41	36.7	36.06	35.68	36.45	36.49
36.41	36.7	36.06	35.68	36.45	36.49	36.6
36.7	36.06	35.68	36.45	36.49	36.6	38.67
36.06	35.68	36.45	36.49	36.6	38.67	37.89
35.68	36.45	36.49	36.6	38.67	37.89	38.4
36.45	36.49	36.6	38.67	37.89	38.4	37.64
36.49	36.6	38.67	37.89	38.4	37.64	37.18
36.6	38.67	37.89	38.4	37.64	37.18	37.4
38.67	37.89	38.4	37.64	37.18	37.4	38.2
37.89	38.4	37.64	37.18	37.4	38.2	38.27
38.4	37.64	37.18	37.4	38.2	38.27	38.75
37.64	37.18	37.4	38.2	38.27	38.75	38.98
37.18	37.4	38.2	38.27	38.75	38.98	38.9
37.4	38.2	38.27	38.75	38.98	38.9	38.07
38.2	38.27	38.75	38.98	38.9	38.07	37.9
38.27	38.75	38.98	38.9	38.07	37.9	36.86
38.75	38.98	38.9	38.07	37.9	36.86	36.02
38.98	38.9	38.07	37.9	36.86	36.02	34.92
38.9	38.07	37.9	36.86	36.02	34.92	33.85
38.07	37.9	36.86	36.02	34.92	33.85	33.61
37.9	36.86	36.02	34.92	33.85	33.61	33.61
36.86	36.02	34.92	33.85	33.61	33.61	33.89
36.02	34.92	33.85	33.61	33.61	33.89	33.8
34.92	33.85	33.61	33.61	33.89	33.8	33.74
33.85	33.61	33.61	33.89	33.8	33.74	34.45
33.61	33.61	33.89	33.8	33.74	34.45	34.48
33.61	33.89	33.8	33.74	34.45	34.48	34.68
